overall,alg1,alg2,alg3,F,CR
102.23,0.13,0.51,5.13,0.05,1
102.22,0.26,0.8,4.53,0.1,1
104.69,0.45,1.71,1.28,0.3,1
66.08,1.12,3.36,1.75,0.5,1
171.54,2.87,9.26,3.49,0.7,1
168.79,3.66,7.61,5.8,0.9,1
38.45,0.45,3.71,0.45,1,1
155.08,0.79,2.55,9.31,0.05,0.9
155.98,1.13,3.85,7.55,0.1,0.9
205.41,7.71,8.05,3.61,0.3,0.9
234.65,10.09,7.22,8.19,0.5,0.9
273.31,9.37,7.42,7.62,0.7,0.9
300.97,10.3,7.72,7.65,0.9,0.9
193.59,6.68,7.4,5.54,1,0.9
263.9,9.15,8.82,7.82,0.05,0.5
294.36,7.83,8.42,8.67,0.1,0.5
294.07,9.55,7.38,7.29,0.3,0.5
300.86,9.53,8.38,8.17,0.5,0.5
279.73,7.89,8.29,9.08,0.7,0.5
284.51,8.93,7.7,6.79,0.9,0.5
274.96,7.43,6.96,6.69,1,0.5
289.0,9.41,9.02,7.74,1,0.1
311.76,9.47,7.79,7.68,0.9,0.1
300.27,8.3,7.27,7.73,0.7,0.1
286.26,7.55,7.65,7.39,0.5,0.1
261.35,7.95,7.21,6.19,0.3,0.1
282.12,9.66,6.7,6.05,0.1,0.1
276.14,8.5,8.47,8.93,0.05,0.1
253.21,7.88,6.91,6.75,1,0
257.56,7.12,5.78,5.77,0.9,0
241.95,8.12,5.47,5.76,0.7,0
256.84,6.24,5.82,5.83,0.5,0
275.67,8.17,7.48,6.99,0.3,0
368.17,9.73,9.75,10.34,0.1,0
333.57,9.0,9.83,9.56,0.05,0
